_id,user_name,retweet_count,tweet_followers_count,source,coordinates,tweet_mentioned_count,tweet_ID,tweet_text,user.CreatedAt,user.FavouritesCount,user.FollowersCount,user.FriendsCount,user.UserId,user.Location
ObjectId(57965376c381590a1c83bbc4),xoamymelissaxo,0,372,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,1,757636355111485440,"RT @BWGotheem: Top 15 Sexiest Woman of the World Cup😍👌🏼😱

http://t.co/jRQy5AkVtW http://t.co/aMuXZ3gcWy",2011-12-21T00:32:28.000Z,25803,372,309,442321405,
ObjectId(579666c6c381591aadae8b23),jego1989,0,269,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",,1,757657088445284352,"RT @TerraceImages: Question for all the football fans of Twitter. 

Are you in favour of Safe Standing? 

RT - YES
FAV - NO http://t.co/D42…",2011-05-31T08:50:22.000Z,17,269,1689,308367418,
ObjectId(5796672ec381591ade3ee3ac),ScottRedemption,0,15,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,0,757657529908330500,http://Allen complete stoke move https://t.co/xpc6hMp0Sn,2014-01-25T11:37:13.000Z,65,15,40,-1991599073,
ObjectId(57966744c381591ade3ee482),Doakhero850,0,1693,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,2,757657620887068672,"RT @espn: This Florida St. football fan found a creative way to remind Gators fans about last season.

(via @TJ_Pittinger) http://t.co/GJVr…",2014-10-27T02:26:48.000Z,7718,1693,1405,-1448811665,"Tallahassee, FL"
ObjectId(579667dec381591baabef2bd),jasonwiberg,0,283,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,2,757658267245883392,"RT @espn: This Florida St. football fan found a creative way to remind Gators fans about last season.

(via @TJ_Pittinger) http://t.co/GJVr…",2012-07-31T05:01:32.000Z,1364,283,756,727606604,
ObjectId(579667f3c381591baabef35f),UMichPets,0,126,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,1,757658342689009664,RT @newfy320: Chloe ready for some Michigan football! http://t.co/FN2S0M9t6O,2016-02-26T21:42:06.000Z,76,126,104,-329867264,"Ann Arbor, MI"
ObjectId(57966800c381591baabef3e9),UMichPets,0,126,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,2,757658409881612289,RT @izzy5115: Even my dog Blu is ready for Michigan football @umichfootball http://t.co/gp19MBW9ih,2016-02-26T21:42:06.000Z,76,126,104,-329867264,"Ann Arbor, MI"
ObjectId(57966845c381591baabef69b),Jcmex27,0,150394,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,1,757658699997417472,RT @Ass0Star: RT/FAV #xxx some #football and #superbowl fans are #anal #ass #dilation #insertion #dilation #culo #dildo #gapers http://t.co…,2012-11-19T05:34:54.000Z,10891,150394,758,956812705,♨️ En el paraiso ♨️
ObjectId(57966e9bc3815920e1131e9f),daefimova88295,0,0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,1,757665494644170752,RT @FootyFunnysUK: BREAKING: Portugal legend Luis Figo has announced his decision to run for Fifa president at this year's election http://…,2016-06-30T21:11:14.000Z,8,0,25,-1672081407,
ObjectId(57966fa6c3815921a71ece71),nick_crawford22,0,202,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>",,1,757666621619965953,RT @trevorphibbs: Friday means one thing: Football is on the horizon. #TribPreps http://t.co/ERrPFknKx6,2016-01-13T16:04:34.000Z,2277,202,217,500607967,
